"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"393","RT @PublimetroMX: Lady Gaga “destrozó” a todo mundo con su show en el #SuperBowl  https://t.co/zbWyhvPeLk https://t.co/49unGa7koH",FALSE,0,NA,2017-02-19 00:36:19,FALSE,NA,"833112945483735040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Stefaniagerma",2,TRUE,FALSE,NA,NA
"394","RT @POTUS: What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!
#SuperBowl -DJT",FALSE,0,NA,2017-02-19 00:36:02,FALSE,NA,"833112874134405120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vanbaythoume191",20514,TRUE,FALSE,NA,NA
"395","RT @POTUS: What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!
#SuperBowl -DJT",FALSE,0,NA,2017-02-19 00:35:47,FALSE,NA,"833112810775334912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","georgiyp0pa",20514,TRUE,FALSE,NA,NA
"396","RT @DonaldJTrumpJr: I look forward to the Brady=Trump memes. #SuperBowl #Brady #Trump",FALSE,0,NA,2017-02-19 00:35:43,FALSE,NA,"833112793066905601",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","leonidxb6javde1",3702,TRUE,FALSE,NA,NA
"397","RT @amazur12: I feel like I'm watching this game on CNN. #SuperBowl #AlternativeScore #FakeNews",FALSE,0,NA,2017-02-19 00:35:19,FALSE,NA,"833112695863910401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","orchodamqui1986",2,TRUE,FALSE,NA,NA
"398","RT @danieljleslie: Random guy: How about this: you sing and I'll carry you awkwardly for 5 feet?
Lady Gaga: Sure. Why not?
 #SuperBowl",FALSE,0,NA,2017-02-19 00:35:13,FALSE,NA,"833112670513614848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","seimanfiaza1984",1,TRUE,FALSE,NA,NA
"399","RT @RICHYSQUIRREL: . #SuperBowl @ladygaga @pepsi Some dreams are unexpected then reality throws you a football! Big thanks everyone apart o…",FALSE,0,NA,2017-02-19 00:35:13,FALSE,NA,"833112669393522688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cocoxartpop",358,TRUE,FALSE,NA,NA
"400","Lady Gaga “destrozó” a todo mundo con su show en el #SuperBowl  https://t.co/zbWyhvPeLk https://t.co/49unGa7koH",FALSE,2,NA,2017-02-19 00:35:00,FALSE,NA,"833112615194734596",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PublimetroMX",2,FALSE,FALSE,NA,NA
"401","Lady Gaga “destrozó” a todo mundo con su show en el #SuperBowl  https://t.co/S6ayYzTq8D https://t.co/InKDbUunZe",FALSE,0,NA,2017-02-19 00:35:00,FALSE,NA,"833112614771126272",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Publisport_MX",1,FALSE,FALSE,NA,NA
"402","RT @RICHYSQUIRREL: . #SuperBowl @ladygaga @pepsi Some dreams are unexpected then reality throws you a football! Big thanks everyone apart o…",FALSE,0,NA,2017-02-19 00:34:53,FALSE,NA,"833112585054588928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SaraMisttt",358,TRUE,FALSE,NA,NA
"403","RT @ladygaga: So!!!!!!??? What did you guys think of the #PepsiHalftime show? I love performing for you <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> #Gaga 
#SB51 #SuperBowl https://…",FALSE,0,NA,2017-02-19 00:34:26,FALSE,NA,"833112472416579584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HollisterFrame",20651,TRUE,FALSE,NA,NA
